"","%IncMSE","IncNodePurity"
"GDP_growth",6.3129345229296,63.8599416201264
"oil_price",4.98940236661432,48.907208473822
"exchange_rate",9.78819750693108,42.7327028185909
"FDI",4.19628517191889,63.7602275455151
"imports_pct",14.5840661521491,90.5537034211177
"external_debt",2.15744618801185,27.6285688868822
"broad_money_pct",4.65144938083549,28.3828686663775
"IMF_loans",5.45436425096166,48.8497363569165
"unemployment_rate",7.35838156596506,34.3231652288136
