"Model","Training_MSE","Testing_MSE"
"ARIMA",2.7562079235223,15.9053382155736
"Ridge",4.56928065903538,2.83940469884652
"LASSO",4.15649525673682,3.40607790521207
"Elastic Net",4.12398861125221,3.89765281762937
"Random Forest",1.85030637889735,4.98433878688456
"XGBoost",0.00395304119813272,6.19684101960843
